rcept_dt,corp_cls,corp_name,rcept_no,report_nm,flr_nm,rm
2024-08-14 21:47,코,이트론,20240814903662 ,[첨부추가]반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),이트론,코정
2024-08-14 21:10,코,제넨바이오,20240814903698 ,기타시장안내 (상장적격성 실질심사 사유추가 안내),코스닥시장본부,코
2024-08-14 21:02,코,디와이디,20240814903697 ,최대주주변경,디와이디,코정
2024-08-14 20:59,코,제넨바이오,20240814903696 ,반기또는분기매출액미달사실발생,제넨바이오,코
2024-08-14 20:59,코,제넨바이오,20240814903695 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),제넨바이오,코
2024-08-14 20:53,코,웰킵스하이텍,20240814004628 ,반기보고서 (2024.06),웰킵스하이텍,정
2024-08-14 20:21,코,제넨바이오,20240814004627 ,반기보고서 (2024.06),제넨바이오,
2024-08-14 20:13,코,아이엠,20240814004626 ,[기재정정]반기보고서 (2024.06),아이엠,
2024-08-14 20:03,기,스마트골프,20240814004625 ,[기재정정]반기보고서 (2024.06),스마트골프,
2024-08-14 20:00,코,아이엠,20240814903686 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),아이엠,코
2024-08-14 19:59,기,한화로보틱스,20240814004624 ,지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,한화로보틱스,공
2024-08-14 19:49,기,포겟,20240814004623 ,[기재정정]반기보고서 (2024.06),포겟,
2024-08-14 19:45,코,디와이디,20240814903683 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),디와이디,코
2024-08-14 19:41,코,아이엠,20240814004622 ,반기보고서 (2024.06),아이엠,정
2024-08-14 19:29,유,코아스,20240814803678 ,[기재정정]주주총회소집결의,코아스,유
2024-08-14 19:24,코,에스씨엠생명과학,20240814903680 ,소송등의판결ㆍ결정 (주주총회소집허가),에스씨엠생명과학,코정
2024-08-14 19:23,코,피엔티엠에스,20240814903664 ,[기재정정]횡령ㆍ배임혐의진행사항,피엔티엠에스,코
2024-08-14 19:10,유,광명전기,20240814004621 ,반기보고서 (2024.06),광명전기,정
2024-08-14 19:06,코,CNH,20240814903675 ,[기재정정]최대주주변경을수반하는주식양수도계약체결,CNH,코
2024-08-14 18:56,유,삼부토건,20240814004620 ,반기보고서 (2024.06),삼부토건,
2024-08-14 18:51,기,스마트골프,20240814004619 ,반기보고서 (2024.06),스마트골프,정
2024-08-14 18:49,유,삼부토건,20240814803646 ,반기검토의견부적정또는의견거절,삼부토건,유
2024-08-14 18:48,코,코스메카코리아,20240814004618 ,반기보고서 (2024.06),코스메카코리아,
2024-08-14 18:46,기,보아스에셋,20240814004617 ,반기보고서 (2024.06),보아스에셋,
2024-08-14 18:46,기,센소니아,20240814004616 ,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,센소니아,공
2024-08-14 18:45,코,퀀텀온,20240814903655 ,[기재정정]반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),퀀텀온,코
2024-08-14 18:44,코,디와이디,20240814004615 ,반기보고서 (2024.06),디와이디,
2024-08-14 18:43,기,센소니아,20240814004614 ,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,센소니아,정공
2024-08-14 18:42,기,포겟,20240814004613 ,반기보고서 (2024.06),포겟,정
2024-08-14 18:42,유,코오롱글로벌,20240814004612 ,반기보고서 (2024.06),코오롱글로벌,
2024-08-14 18:42,기,센소니아,20240814004611 ,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,센소니아,정공
2024-08-14 18:41,코,한국캐피탈,20240814004610 ,[기재정정]일괄신고서,한국캐피탈,
2024-08-14 18:40,코,퀀텀온,20240814004609 ,반기보고서 (2024.06),퀀텀온,
2024-08-14 18:39,코,어스앤에어로스페이스,20240814903652 ,기타시장안내 (관리종목 지정사유 추가 관련 시장조치사항 안내),코스닥시장본부,코
2024-08-14 18:38,기,센소니아,20240814004608 ,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,센소니아,정공
2024-08-14 18:37,코,비유테크놀러지,20240814004607 ,[기재정정]반기보고서 (2024.06),비유테크놀러지,
2024-08-14 18:36,기,한화자산운용,20240813000847 ,[기재정정]투자설명서(집합투자증권) (한화신종개인연금증권전환형자투자신탁(채권)),한화자산운용,정
2024-08-14 18:36,기,한화자산운용,20240813000868 ,[기재정정]투자설명서(집합투자증권) (한화글로벌리츠부동산자투자신탁(리츠-재간접형)),한화자산운용,정
2024-08-14 18:36,기,한화자산운용,20240813000877 ,[기재정정]투자설명서(집합투자증권) (한화미국금리맞춤솔루션증권자투자신탁(채권)(UH)),한화자산운용,정
2024-08-14 18:35,코,한국캐피탈,20240814004606 ,[기재정정]반기보고서 (2024.06),한국캐피탈,
2024-08-14 18:35,코,KH 미래물산,20240814903635 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),KH 미래물산,코
2024-08-14 18:34,코,현대사료,20240814004605 ,반기보고서 (2024.06),현대사료,
2024-08-14 18:34,코,비에이치아이,20240814903640 ,불성실공시법인미지정 (지정유예),코스닥시장본부,코
2024-08-14 18:33,코,퀀텀온,20240814903643 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),퀀텀온,코정
2024-08-14 18:31,코,현대사료,20240814903629 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),현대사료,코
2024-08-14 18:31,코,에이스테크,20240814903617 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),에이스테크,코
2024-08-14 18:29,기,삼성바이오에피스,20240814004602 ,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,삼성바이오에피스,공
2024-08-14 18:28,기,한국테크놀로지,20240814903630 ,기타시장안내 (반기검토 의견거절 관련 시장조치 미진행 및 상장적격성 실질심사 사유 추가 관련 절차 미진행),코스닥시장본부,코
2024-08-14 18:28,유,대원화성,20240814004601 ,반기보고서 (2024.06),대원화성,
2024-08-14 18:26,코,투비소프트,20240814004598 ,반기보고서 (2024.06),투비소프트,
2024-08-14 18:26,코,대보마그네틱,20240814004597 ,반기보고서 (2024.06),대보마그네틱,정
2024-08-14 18:25,유,신풍제약,20240814004596 ,반기보고서 (2024.06),신풍제약,정
2024-08-14 18:24,코,투비소프트,20240814903610 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),투비소프트,코
2024-08-14 18:24,코,에이스테크,20240814004595 ,반기보고서 (2024.06),에이스테크,
2024-08-14 18:23,기,삼성바이오에피스,20240814004594 ,[기재정정]지급수단별ㆍ지급기간별지급금액및분쟁조정기구에관한사항,삼성바이오에피스,정공
2024-08-14 18:21,코,애닉,20240814903612 ,기타시장안내 (반기 자본잠식률 100분의 50 이상 관련 시장조치 미진행),코스닥시장본부,코
2024-08-14 18:20,코,쇼박스,20240814004593 ,[기재정정]반기보고서 (2024.06),쇼박스,
2024-08-14 18:20,코,엑스플러스,20240814903538 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),엑스플러스,코
2024-08-14 18:20,코,에이디테크놀로지,20240814004592 ,반기보고서 (2024.06),에이디테크놀로지,
2024-08-14 18:19,기,하나자산운용,20240814001841 ,[기재정정]투자설명서(집합투자증권) (하나파워e단기채증권자투자신탁[채권]),하나자산운용,정
2024-08-14 18:19,코,엠에프엠코리아,20240814903508 ,[기재정정]주주총회소집결의 (임시주주총회),엠에프엠코리아,코정
2024-08-14 18:19,기,하나자산운용,20240814002005 ,[기재정정]투자설명서(집합투자증권) (하나개인연금파워e단기채증권전환형자투자신탁[채권]),하나자산운용,정
2024-08-14 18:19,유,LG유플러스,20240814004590 ,반기보고서 (2024.06),LG유플러스,
2024-08-14 18:19,기,키움투자자산운용,20240814004518 ,[기재정정]일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(H)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240812000525 ,[첨부정정]일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(H)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240812000387 ,[기재정정]일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(H)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240730000203 ,일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(H)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240814004534 ,[기재정정]일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(UH)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240812000539 ,[첨부정정]일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(UH)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240812000334 ,[기재정정]일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(UH)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:19,기,키움투자자산운용,20240730000151 ,일괄신고서(집합투자증권-신탁형) (키움키워드림TDF2060증권자투자신탁제1호(UH)[혼합-재간접형]),키움투자자산운용,정
2024-08-14 18:16,코,KH 미래물산,20240814004589 ,반기보고서 (2024.06),KH 미래물산,
2024-08-14 18:16,코,BF랩스,20240814004588 ,반기보고서 (2024.06),BF랩스,
2024-08-14 18:16,유,두산에너빌리티,20240814004587 ,[기재정정]반기보고서 (2024.06),두산에너빌리티,
2024-08-14 18:15,코,플래스크,20240814004585 ,반기보고서 (2024.06),플래스크,
2024-08-14 18:14,코,소룩스,20240814903597 ,주권매매거래정지해제 (우회상장 미해당),코스닥시장본부,코
2024-08-14 18:14,코,나노,20240814903596 ,불성실공시법인지정 (공시불이행 9건),코스닥시장본부,코
2024-08-14 18:13,코,하스,20240814903497 ,투자판단관련주요경영사항 (국책과제 선정),하스,코
2024-08-14 18:12,코,플래스크,20240814903578 ,반기검토(감사)의견부적정등사실확인(자본잠식률100분의50이상또는자기자본10억원미만포함),플래스크,코
2024-08-14 18:10,코,제주맥주,20240814004584 ,[기재정정]반기보고서 (2024.06),제주맥주,
