rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,유동자산,제 53 기,2021.12.31 현재,"218,163,185,000,000",제 52 기,2020.12.31 현재,"198,215,579,000,000",제 51 기,2019.12.31 현재,"181,385,260,000,000",1,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,비유동자산,제 53 기,2021.12.31 현재,"208,457,973,000,000",제 52 기,2020.12.31 현재,"180,020,139,000,000",제 51 기,2019.12.31 현재,"171,179,237,000,000",3,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,자산총계,제 53 기,2021.12.31 현재,"426,621,158,000,000",제 52 기,2020.12.31 현재,"378,235,718,000,000",제 51 기,2019.12.31 현재,"352,564,497,000,000",5,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,유동부채,제 53 기,2021.12.31 현재,"88,117,133,000,000",제 52 기,2020.12.31 현재,"75,604,351,000,000",제 51 기,2019.12.31 현재,"63,782,764,000,000",7,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,비유동부채,제 53 기,2021.12.31 현재,"33,604,094,000,000",제 52 기,2020.12.31 현재,"26,683,351,000,000",제 51 기,2019.12.31 현재,"25,901,312,000,000",9,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,부채총계,제 53 기,2021.12.31 현재,"121,721,227,000,000",제 52 기,2020.12.31 현재,"102,287,702,000,000",제 51 기,2019.12.31 현재,"89,684,076,000,000",11,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,자본금,제 53 기,2021.12.31 현재,"897,514,000,000",제 52 기,2020.12.31 현재,"897,514,000,000",제 51 기,2019.12.31 현재,"897,514,000,000",13,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,이익잉여금,제 53 기,2021.12.31 현재,"293,064,763,000,000",제 52 기,2020.12.31 현재,"271,068,211,000,000",제 51 기,2019.12.31 현재,"254,582,894,000,000",17,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,BS,재무상태표,자본총계,제 53 기,2021.12.31 현재,"304,899,931,000,000",제 52 기,2020.12.31 현재,"275,948,016,000,000",제 51 기,2019.12.31 현재,"262,880,421,000,000",21,KRW
20220308000798 ,11011,2021,126380,5930,CFS,연결재무제표,IS,손익계산서,매출액,제 53 기,2021.01.01 ~ 2021.12.31,"279,604,799,000,000",제 52 기,2020.01.01 ~ 2020.12.31,"236,806,988,000,000",제 51 기,2019.01.01 ~ 2019.12.31,"230,400,881,000,000",23,KRW
